title,Country.Name,year,status,type,target
Renewable Energy Feed-In Tariff: Biomass,France,2009,Ended,"Economic Instruments>Fiscal/financial incentives>Taxes, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums",Bioenergy>Biomass for power
2009 Amendment of the Renewable Energy Sources Act (EEG 2009),Germany,2009,Superseded,"Policy Support, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums","Wind>Onshore, Bioenergy>Biomass for heat, Geothermal>Heat, Geothermal>Power, Hydropower, Solar>Solar photovoltaic, Wind>Offshore"
Universal Access Fund,Lesotho,2009,Ended,"Economic Instruments, Economic Instruments>Fiscal/financial incentives>Grants and subsidies",Multiple RE Sources
Finance Law 2009: Sustainable energy provisions,France,2009,In Force,"Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Loans, Regulatory Instruments","Multiple RE Sources>Heating, Bioenergy>Biofuels for transport"
Hydropower Revival Plan,France,2009,Planned,"Regulatory Instruments>Codes and standards, Economic Instruments>Direct investment>Infrastructure investments",Hydropower
Renewable Energy Development Law 13.09,Morocco,2009,In Force,"Regulatory Instruments, Policy Support>Strategic planning","Wind, Solar>Solar photovoltaic, Solar Thermal>Solar thermal electricity (STE)"
Five-Year Plan for Green Growth,Korea,2009,In Force,"Policy Support>Strategic planning, Policy Support","Multiple RE Sources, Multiple RE Sources>All"
Methodology to value the externalities associated with the Electricity Generation in Mexico,Mexico,2009,In Force,Policy Support>Strategic planning,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Power"
National Energy Conservation Programme 2009 (NEP 2009),Hungary,2009,Ended,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,"Multiple RE Sources, Wind, Solar, Geothermal, Bioenergy"
Polish Energy Policy until 2030,Poland,2009,In Force,Policy Support>Strategic planning,"Wind>Onshore, Bioenergy, Bioenergy>Biofuels for transport, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Wind, Wind>Offshore"
Senegalese National Biogas Programme Phase I,Senegal,2009,In Force,"Economic Instruments>Direct investment>Infrastructure investments, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Policy Support>Institutional creation","Bioenergy>Biomass for power, Bioenergy>Biomass for heat"
National Energy Policy,Saint Vincent and the Grenadines,2009,In Force,"Policy Support>Strategic planning, Policy Support","Multiple RE Sources>All, Multiple RE Sources"
Notice on the removal of local content requirement in wind power projects equipments procurement,China,2009,In Force,Policy Support>Strategic planning,Wind
Renewable Energy National Fund,Algeria,2009,In Force,"Policy Support>Institutional creation, Economic Instruments>Fiscal/financial incentives","Multiple RE Sources, Multiple RE Sources>All"
Clean Energy Fund,Canada,2009,In Force,"Research, Development and Deployment (RD&D), Economic Instruments>Direct investment>RD&D funding, Economic Instruments>Direct investment>Infrastructure investments",Multiple RE Sources
Feed-in tariffs for renewable energy sources and combined heat and power generation,Serbia,2009,Superseded,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Multiple RE Sources, Multiple RE Sources>Power"
Clean Energy Fund - Renewable Energy and Clean Energy Systems Demonstration Projects,Canada,2009,In Force,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Research, Development and Deployment (RD&D)>Demonstration project","Solar Thermal, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Geothermal>Heat, Geothermal>Power, Hydropower, Multiple RE Sources>Heating, Geothermal, Ocean, Solar>Solar photovoltaic"
Ontario Feed-in Tariff Programme,Canada,2009,In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Wind>Onshore, Bioenergy>Biomass for power, Hydropower, Multiple RE Sources>Power, Solar>Solar photovoltaic"
Nova Scotia Electricity Sector Regulations,Canada,2009,In Force,"Regulatory Instruments>Other mandatory requirements, Policy Support>Strategic planning",Multiple RE Sources
Offshore Wind developmnet plan,China,2009,In Force,"Economic Instruments>Direct investment>Infrastructure investments, Policy Support>Strategic planning","Wind>Offshore, Wind"
Subsidy for Residential PV systems,Japan,2009,Ended,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,Solar>Solar photovoltaic
National Environmental Policy for 2009-2012 and its 2016 outlook,Poland,2009,In Force,Policy Support>Strategic planning,Multiple RE Sources
Green Investment Scheme (GIS),Poland,2009,In Force,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Policy Support>Institutional creation, Economic Instruments>Market-based instruments>GHG emissions trading",Multiple RE Sources
"Executive Order 13514: Federal Leadership in Environmental, Energy, and Economic Performance",United States,2009,In Force,"Economic Instruments>Direct investment>Procurement rules, Policy Support>Institutional creation",Multiple RE Sources
Statute for Renewable Energy Develoment Bill,Chinese Taipei,2009,In Force,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Policy Support>Institutional creation, Policy Support>Strategic planning","Wind>Onshore, Bioenergy>Biofuels for transport, Geothermal, Hydropower, Ocean, Ocean>Tidal, Ocean>Wave, Solar, Solar>Solar photovoltaic, Solar Thermal, Wind, Wind>Offshore"
Wind Dispatch,Uruguay,2009,In Force,Regulatory Instruments,Wind
Purchasing Scheme for Solar PV Electricity,Japan,2009,Superseded,"Regulatory Instruments>Other mandatory requirements, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums",Solar>Solar photovoltaic
Renewable Energy Law amendments,China,2009,In Force,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Policy Support>Institutional creation, Economic Instruments>Direct investment, Economic Instruments>Direct investment>Infrastructure investments",Multiple RE Sources
Onshore wind feed-in Tariff,China,2009,In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,Wind>Onshore
KfW Renewable Energies Programme (KfW-Programm Erneuerbare Energien),Germany,2009,In Force,"Economic Instruments>Fiscal/financial incentives>Loans, Economic Instruments>Fiscal/financial incentives>Grants and subsidies","Wind, Geothermal>Heat, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Multiple RE Sources>CHP, Multiple RE Sources>Power, Solar>Solar photovoltaic, Solar Thermal"
Renewable energy provisions for the Green Certificates System,Italy,2008 (revised 2011),Superseded,"Economic Instruments>Market-based instruments>Green certificates, Policy Support, Policy Support>Strategic planning","Wind, Multiple RE Sources>Power, Bioenergy>Biomass for power, Geothermal, Hydropower, Solar, Ocean>Tidal"
Law on establishing the promotion system of energy production from renewable energy,Romania,2008 (last updated 2014),In Force,"Economic Instruments>Market-based instruments>Green certificates, Regulatory Instruments>Obligation schemes",Multiple RE Sources
Obligatory dispatch and electricity purchase from renewable and waste generators (feed-in tariff),Hungary,2008 (last amended 2014),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Wind, Solar, Multiple RE Sources>Power, Hydropower, Geothermal"
Feed-in tariffs for renewable energy and cogeneration (Règlement du 12 février 2008 et du 23 novembre 2012),Luxembourg,2008 (last amended 2013),Superseded,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums","Multiple RE Sources, Bioenergy, Solar, Wind, Hydropower"
Green Electricity Act - 2008 and 2009 amendments,Austria,2008 (expanded and in force 2009),Superseded,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Regulatory Instruments>Other mandatory requirements","Wind, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Geothermal, Geothermal>Power, Hydropower, Solar>Solar photovoltaic"
Non-conventional renewable energy law (Law 20.257),Chile,2008 (amended 2013),In Force,"Regulatory Instruments, Regulatory Instruments>Obligation schemes","Bioenergy>Biomass for power, Geothermal, Multiple RE Sources, Ocean, Solar Thermal, Wind, Bioenergy, Hydropower"
Wind Energy Technologies Office (WETO),United States,2008 (activity in place since 1977),In Force,"Voluntary Approaches>Negotiated Agreements (Public-private sector), Information and Education>Information provision, Information and Education>Advice/Aid in Implementation, Research, Development and Deployment (RD&D)>Demonstration project, Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Research, Development and Deployment (RD&D)>Research programme >Technology development, Regulatory Instruments","Wind, Hydropower"
Law for the Development of Renewable Energy and Energy Transition Financing (LAFAERTE),Mexico,2008 (November 29th),In Force,"Regulatory Instruments, Regulatory Instruments>Other mandatory requirements, Economic Instruments>Fiscal/financial incentives, Policy Support>Strategic planning, Policy Support>Institutional creation","Wind, Geothermal, Solar, Hydropower"
Accelerated depreciation benefits,Peru,2008 (June 30th),In Force,"Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Tax relief","Multiple RE Sources, Multiple RE Sources>All"
National Energy Technology Development Plan,Estonia,2008 (June 1st),In Force,"Research, Development and Deployment (RD&D)>Research programme",Multiple RE Sources>All
Euro Solar project Law,Paraguay,2008 (Jun),In Force,"Economic Instruments, Economic Instruments>Direct investment, Economic Instruments>Direct investment>Funds to sub-national governments","Solar, Solar>Solar photovoltaic"
National White Paper for 2020,Burkina Faso,2008 (Jan),In Force,Policy Support>Strategic planning,"Multiple RE Sources, Solar"
Law on Promotion and Development of Bioenergy,Mexico,2008 (February),In Force,Policy Support>Strategic planning,Bioenergy
New National Renewable Energy Strategy,Egypt,2008 (Feb),In Force,"Regulatory Instruments>Other mandatory requirements, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Policy Support>Strategic planning","Wind, Multiple RE Sources>Power"
Green Precincts Fund,Australia,2008 (December),Ended,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,"Wind>Onshore, Solar, Solar Thermal, Solar>Solar photovoltaic, Wind>Offshore"
Integrated Energy Services Project (2007-2014),Mexico,2008 (December 5th),In Force,"Economic Instruments>Direct investment>Infrastructure investments, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Policy Support","Solar, Solar>Solar photovoltaic"
Renewable Energy Policy of Bangladesh,Bangladesh,2008 (Dec 18th),In Force,"Regulatory Instruments, Policy Support","Multiple RE Sources, Multiple RE Sources>All"
Renewable Energy Act,Philippines,2008 (Dec 18th),In Force,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Tax relief, Regulatory Instruments>Other mandatory requirements, Policy Support","Multiple RE Sources>Power, Multiple RE Sources"
New Renewable Energy Target for 2010,Japan,2008,Ended,Policy Support>Strategic planning,Multiple RE Sources>All
Victorian Feed-in Tariff Scheme,Australia,2008,In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Wind>Onshore, Bioenergy>Biomass for power, Hydropower, Solar, Solar>Solar photovoltaic, Wind"
Energy Sustainability Fund,Mexico,2008,In Force,Economic Instruments>Direct investment>RD&D funding,Multiple RE Sources>All
Legislative decree 1002 on investment promotion for generation of electricity using renewable energy,Peru,2008,In Force,"Economic Instruments>Direct investment>Infrastructure investments, Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Policy Support>Strategic planning",Multiple RE Sources>Power
Financial aid programme for energy savings and renewable energy in housing 2008,Luxembourg,2008,Superseded,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,"Geothermal>Heat, Multiple RE Sources>CHP, Multiple RE Sources>Heating, Solar>Solar photovoltaic, Solar, Solar Thermal, Geothermal, Bioenergy>Biomass for heat"
Long-term Climate and Energy Strategy,Finland,2008,Superseded,Policy Support>Strategic planning,"Multiple RE Sources, Multiple RE Sources>Power"
Retailer Sustainable Commerce Agreement,France,2008,In Force,"Voluntary Approaches>Negotiated Agreements (Public-private sector), Regulatory Instruments>Other mandatory requirements",Multiple RE Sources>Power
Shandong Province One Million Rooftops Sunshine Plan,China,2008,In Force,"Regulatory Instruments, Economic Instruments>Direct investment","Solar Thermal, Solar>Solar photovoltaic, Geothermal"
"National Strategy for Research, Development, Demonstration and Commercialisation of New Energy Technology (Energi21)",Norway,2008,In Force,"Policy Support, Policy Support>Strategic planning, Research, Development and Deployment (RD&D)","Multiple RE Sources, Multiple RE Sources>All"
Long-term Programme for Promotion of Biofuels or Other Renewable Fuels for 2008-2014,Poland,2008,Ended,"Economic Instruments>Direct investment>Procurement rules, Economic Instruments>Fiscal/financial incentives>Taxes, Economic Instruments>Fiscal/financial incentives>Tax relief, Policy Support, Policy Support>Strategic planning, Economic Instruments>Direct investment","Solar>Solar photovoltaic, Bioenergy>Co-firing with fossil fuels, Bioenergy>Biofuels for transport, Bioenergy, Hydropower"
Wave Energy Pilot Zone,Portugal,2008,In Force,"Regulatory Instruments, Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Research, Development and Deployment (RD&D)>Research programme >Technology development","Ocean>Wave, Ocean"
Decentralised Rural Electrification Program,Madagascar,2008,In Force,"Policy Support>Strategic planning, Voluntary Approaches>Negotiated Agreements (Public-private sector), Voluntary Approaches>Public Voluntary Schemes, Economic Instruments>Market-based instruments>GHG emissions trading, Economic Instruments>Market-based instruments>Green certificates, Economic Instruments>Market-based instruments>White certificates","Hydropower, Bioenergy>Biomass for power, Solar>Solar photovoltaic, Wind>Onshore"
Energy Sustainability Fund (Fondo de Sustentabilidad Energética),Mexico,2008,In Force,"Research, Development and Deployment (RD&D)>Research programme","Multiple RE Sources, Multiple RE Sources>All"
Strategy for the Development of Samoa 2008-2012,Samoa,2008,Ended,"Policy Support>Strategic planning, Policy Support",Multiple RE Sources>All
3 x 20 by 2020: Europes Climate Change Opportunity,European Commission,2008,In Force,Policy Support>Strategic planning,"Multiple RE Sources>Power, Multiple RE Sources>All, Multiple RE Sources>Heating, Multiple RE Sources>CHP"
Revised State Aid Guidelines for Environmental Protection,European Commission,2008,In Force,"Regulatory Instruments, Regulatory Instruments>Monitoring",Multiple RE Sources
Proposal for a Directive of the European Parliament and of the Council on the promotion of the use of energy from renewable sources,European Commission,2008,Planned,Policy Support,"Bioenergy>Biomass for power, Bioenergy, Bioenergy>Biofuels for transport, Bioenergy>Biomass for heat"
Danish Energy Agreement for 2008-2011,Denmark,2008,Superseded,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Policy Support>Strategic planning, Economic Instruments>Direct investment>Infrastructure investments, Research, Development and Deployment (RD&D)>Research programme >Technology development","Wind>Onshore, Bioenergy>Biomass for power, Multiple RE Sources>Heating, Wind>Offshore, Wind"
Low Carbon Energy Technologies Fund,New Zealand,2008,Ended,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Research, Development and Deployment (RD&D)>Demonstration project, Research, Development and Deployment (RD&D)>Research programme >Technology development","Bioenergy>Biomass for power, Bioenergy>Biomass for heat, Bioenergy>Biofuels for transport"
Fund for the Energy Transition and Sustainable Electricity Use,Mexico,2008,In Force,"Research, Development and Deployment (RD&D)",Multiple RE Sources>All
National Policy Statement on Electricity Transmission,New Zealand,2008,In Force,"Regulatory Instruments, Policy Support>Strategic planning",Multiple RE Sources>Power
Electricity Industry Reform Act Amendment,New Zealand,2008,Superseded,Regulatory Instruments,Multiple RE Sources>Power
Multi-Year Tariff Order (MYTO) I (2008-2013),Nigeria,2008,Superseded,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Multiple RE Sources, Multiple RE Sources>Power"
Excise tax exemption for electricity generated from renewable energy sources,Slovakia,2008,In Force,Economic Instruments>Fiscal/financial incentives>Tax relief,"Wind, Bioenergy>Biomass for power, Geothermal>Power, Hydropower, Solar"
Rural Energy For America Program (REAP),United States,2008,In Force,"Economic Instruments>Fiscal/financial incentives>Loans, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments","Multiple RE Sources>Power, Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Heating"
Offshore wind and ocean energy testing,United States,2008,Superseded,"Research, Development and Deployment (RD&D)>Research programme >Technology development","Wind>Offshore, Ocean, Ocean>Tidal, Ocean>Wave"
Western Renewable Energy Zones (WREZ) Project,United States,2008,Ended,Policy Support>Strategic planning,"Multiple RE Sources>Power, Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP"
Energy Independence and Security Act of 2007,United States,2008,In Force,"Regulatory Instruments, Policy Support, Policy Support>Strategic planning","Multiple RE Sources>Power, Bioenergy>Biofuels for transport, Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating, Bioenergy"
Geothermal Industry Development Framework,Australia,2008,Ended,"Voluntary Approaches>Negotiated Agreements (Public-private sector), Information and Education>Advice/Aid in Implementation, Policy Support>Strategic planning, Research, Development and Deployment (RD&D)>Research programme >Technology development",Geothermal>Power
National Solar Schools Program,Australia,2008,Ended,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,Solar
Tanzanian Energy Development Access Programme (TEDAP),United Republic of Tanzania,2008,In Force,"Economic Instruments>Direct investment>Infrastructure investments, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Policy Support","Solar>Solar photovoltaic, Multiple RE Sources, Multiple RE Sources>Power"
Technology Commercialization Fund,United States,2008,Ended,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion","Multiple RE Sources>Power, Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
Regional Greenhouse Gas Initiative (RGGI),United States,2008,In Force,Economic Instruments>Market-based instruments>GHG emissions trading,Multiple RE Sources
2025 Angola Long Term Strategy,Angola,2008,In Force,"Policy Support, Policy Support>Strategic planning","Multiple RE Sources, Multiple RE Sources>All"
National Programme for Rural Electrification of Rural Areas (PNER),Angola,2008,In Force,"Economic Instruments, Economic Instruments>Direct investment","Hydropower, Solar"
Queensland Solar Bonus Scheme,Australia,2008,In Force,"Voluntary Approaches>Unilateral Commitments (Private sector), Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums","Solar>Solar photovoltaic, Solar, Bioenergy>Biomass for power"
"Food, Conservation, and Energy Act of 2008",United States,2008,Superseded,"Research, Development and Deployment (RD&D), Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Grants and subsidies","Wind, Bioenergy, Geothermal, Hydropower, Solar"
Energy Improvement and Extension Act 2008 - Tax Incentives,United States,2008,Superseded,Economic Instruments>Fiscal/financial incentives>Tax relief,"Wind, Bioenergy>Biofuels for transport, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Geothermal>Heat, Geothermal>Power, Ocean>Tidal, Ocean>Wave, Solar"
Energy Provisions - National Defense Authorization Act for fiscal year 2009,United States,2008,Ended,"Regulatory Instruments>Monitoring, Economic Instruments>Direct investment, Economic Instruments>Direct investment>Procurement rules, Research, Development and Deployment (RD&D)>Research programme , Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Regulatory Instruments>Other mandatory requirements","Wind, Bioenergy>Biofuels for transport, Solar>Solar photovoltaic"
South Australian Feed-in Tariff Scheme,Australia,2008,In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,Solar>Solar photovoltaic
Geothermal Drilling Program,Australia,2008,Ended,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Research, Development and Deployment (RD&D)>Demonstration project",Geothermal>Power
"National Plan for Scientific Research, Development and Technological Innovation 2008-2011",Spain,2008,Ended,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Policy Support, Research, Development and Deployment (RD&D), Research, Development and Deployment (RD&D)>Research programme , Research, Development and Deployment (RD&D)>Demonstration project, Research, Development and Deployment (RD&D)>Research programme >Technology development",Multiple RE Sources
Electric power auctions - Biomass,Brazil,2008,In Force,Regulatory Instruments,Bioenergy>Biomass for power
"Vision, Strategic Direction and Framework for Climate Policy",South Africa,2008,In Force,"Regulatory Instruments, Information and Education, Economic Instruments>Fiscal/financial incentives>Taxes, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Policy Support, Policy Support>Strategic planning, Regulatory Instruments>Obligation schemes , Regulatory Instruments>Monitoring",Multiple RE Sources>Power
Solar Traffic Lights,South Africa,2008,Planned,Economic Instruments>Direct investment>Infrastructure investments,Solar>Solar photovoltaic
Biomass Action Plan 2008-2013,Slovakia,2008,In Force,Policy Support>Strategic planning,"Bioenergy>Biomass for power, Bioenergy>Biomass for heat"
Feed-in tariffs for Renewable Energy Resource Generated Electricity,Kenya,2008,Superseded,"Regulatory Instruments>Other mandatory requirements, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums","Wind, Bioenergy>Biomass for power, Hydropower, Bioenergy>Co-firing with fossil fuels"
Brazil National Climate Change Plan,Brazil,2008,In Force,"Policy Support>Strategic planning, Policy Support","Wind, Solar Thermal, Solar>Solar photovoltaic, Multiple RE Sources, Hydropower, Bioenergy, Bioenergy>Biofuels for transport"
Network for wind power (Nätverket för vindbruk),Sweden,2008,In Force,Policy Support,Wind
Planning and Energy Act 2008,United Kingdom,2008,In Force,Regulatory Instruments,Multiple RE Sources
Clean Business Australia,Australia,2008,Ended,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,"Multiple RE Sources>Power, Multiple RE Sources>Heating"
Climate Change Act 2008,United Kingdom,2008,In Force,"Policy Support, Policy Support>Institutional creation, Policy Support>Strategic planning, Regulatory Instruments>Obligation schemes , Economic Instruments>Market-based instruments>GHG emissions trading","Multiple RE Sources, Bioenergy>Biofuels for transport"
Energy Act 2008,United Kingdom,2008,Superseded,"Policy Support>Institutional creation, Policy Support","Wind, Bioenergy, Geothermal, Multiple RE Sources, Multiple RE Sources>CHP, Multiple RE Sources>Heating, Multiple RE Sources>Power, Ocean, Solar"
National Energy Efficiency Program 2008-2011: Renewable Energy Provisions,Tunisia,2008,In Force,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Information and Education>Information provision, Economic Instruments>Direct investment>Funds to sub-national governments, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Policy Support, Policy Support>Strategic planning, Research, Development and Deployment (RD&D)>Research programme >Technology development","Wind>Onshore, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Solar>Solar photovoltaic"
VAT and Customs Duties Exemptions,Ukraine,2008,In Force,Economic Instruments>Fiscal/financial incentives>Tax relief,"Multiple RE Sources>All, Multiple RE Sources"
Energy Security Steering Committee established,Seychelles,2008,Ended,"Policy Support>Strategic planning, Policy Support>Institutional creation",Multiple RE Sources
Shandong Province Village Renewable Energy Regulations,China,2008,In Force,"Regulatory Instruments>Other mandatory requirements, Economic Instruments>Fiscal/financial incentives>Grants and subsidies",Multiple RE Sources
Microgeneration Support Programme,Ireland,2008,In Force,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,"Wind>Onshore, Hydropower, Solar>Solar photovoltaic"
Electricity Act 2007,Hungary,2008,In Force,"Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Market-based instruments>Green certificates","Multiple RE Sources>CHP, Multiple RE Sources>Power, Multiple RE Sources>Heating"
"""All inclusive"" Feed-in Tariff for small renewable energy power plants",Italy,2008,Superseded,Economic Instruments>Fiscal/financial incentives>Taxes,"Wind, Bioenergy>Biomass for power, Geothermal>Power, Hydropower, Multiple RE Sources>Power, Ocean>Tidal, Ocean>Wave"
Industry 2015: Industrial Innovation Projects,Italy,2008,Ended,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Research, Development and Deployment (RD&D)>Research programme >Technology development",Solar>Solar photovoltaic
Low Carbon Homes Programme,Ireland,2008,Ended,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,"Multiple RE Sources>Power, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
Generation based incentives for wind power,India,2008,In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,Wind>Onshore
Solar Power Generation Based Incentive,India,2008,In Force,"Economic Instruments>Fiscal/financial incentives>Taxes, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums","Solar Thermal, Solar>Solar photovoltaic"
Net Metering,Italy,2008,In Force,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Tax relief","Multiple RE Sources>Power, Multiple RE Sources"
National Action Plan on Climate Change,India,2008,In Force,Regulatory Instruments>Codes and standards,Solar Thermal
Cool Earth-Energy Innovative Technology Plan,Japan,2008,In Force,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Research, Development and Deployment (RD&D)>Demonstration project, Research, Development and Deployment (RD&D)>Research programme >Technology development, Policy Support>Strategic planning","Multiple RE Sources>Power, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
Feed-In Tariff for Solar Thermodynamic Energy,Italy,2008,In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,Solar Thermal
Amendment of Part L of the Building Regulations,Ireland,2008,In Force,Regulatory Instruments,Multiple RE Sources>Power
National Electrification Scheme,Ghana,2007-2020,In Force,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Research, Development and Deployment (RD&D)>Research programme","Wind>Onshore, Bioenergy>Biomass for power, Multiple RE Sources>Power, Solar, Wind"
Nova Scotia Renewable Portfolio Standard,Canada,2007 (revised 2010),In Force,"Regulatory Instruments>Codes and standards, Regulatory Instruments>Other mandatory requirements, Regulatory Instruments>Obligation schemes",Multiple RE Sources
Feed-in tariffs for electricity from renewable energy sources (Special regime),Spain,2007 (modified 2009),Ended,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums","Wind, Bioenergy, Bioenergy>Biomass for power, Geothermal, Hydropower, Ocean, Solar"
Feed-in premium for renewable power,Thailand,2007 (modified 2009),Superseded,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,"Bioenergy, Wind, Solar"
Brazil Renewable Energy Auctions,Brazil,2007 (last updated 2015),In Force,"Economic Instruments>Market-based instruments, Regulatory Instruments","Multiple RE Sources>All, Multiple RE Sources>Power, Wind, Bioenergy>Biomass for power, Hydropower"
Regulation on electricity market organization,Luxembourg,2007 (last amended 2012),In Force,"Regulatory Instruments, Policy Support","Multiple RE Sources, Multiple RE Sources>Power"
Climate and Energy Fund,Austria,2007 (amended 2009),In Force,"Research, Development and Deployment (RD&D), Research, Development and Deployment (RD&D)>Demonstration project, Research, Development and Deployment (RD&D)>Research programme , Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion","Solar Thermal, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Multiple RE Sources, Solar>Solar photovoltaic"
National Energy Commission Law,El Salvador,2007 (Oct 1st),In Force,Policy Support>Institutional creation,Multiple RE Sources>All
Action Plan of the Ministry of Energy and Natural Resources of the RA Stipulated by the Provisions of the National Security Strategies of Armenia,Armenia,2007 (November 1st),In Force,"Policy Support>Strategic planning, Policy Support",Multiple RE Sources
National renewable energy registry,Venezuela,2007 (May),In Force,Information and Education>Information provision,Multiple RE Sources>Power
Biofuels Act,Philippines,2007 (January),In Force,"Regulatory Instruments>Obligation schemes , Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Loans, Regulatory Instruments>Other mandatory requirements",Bioenergy>Biofuels for transport
National Energy Strategy,Lithuania,2007 (Jan 18th),Ended,"Policy Support, Policy Support>Strategic planning","Multiple RE Sources, Multiple RE Sources>All"
Renewable Energy Law,Mongolia,2007 (Jan 11th),In Force,"Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Policy Support, Policy Support>Institutional creation",Multiple RE Sources
